2025-05-23 10:30 - 2025-05-23 11:20: Professional Communication and Behaviour - I (BCASemSecondm) at D1, Faculty: Rama Maliya
2025-05-30 10:30 - 2025-05-30 11:20: Professional Communication and Behaviour - I (BCASemSecondm) at D1, Faculty: Rama Maliya
2025-06-06 10:30 - 2025-06-06 11:20: Professional Communication and Behaviour - I (BCASemSecondm) at D1, Faculty: Rama Maliya
2025-03-06 08:00 - 2025-03-06 08:50: Indian Knowledge System (MOOC) (BCASemSecondm) at D1, Faculty: Jatin Ambasana
2025-03-13 08:00 - 2025-03-13 08:50: Indian Knowledge System (MOOC) (BCASemSecondm) at D1, Faculty: Jatin Ambasana
2025-03-20 08:00 - 2025-03-20 08:50: Indian Knowledge System (MOOC) (BCASemSecondm) at D1, Faculty: Jatin Ambasana
2025-03-27 08:00 - 2025-03-27 08:50: Indian Knowledge System (MOOC) (BCASemSecondm) at D1, Faculty: Jatin Ambasana
2025-04-03 08:00 - 2025-04-03 08:50: Indian Knowledge System (MOOC) (BCASemSecondm) at D1, Faculty: Jatin Ambasana
2025-04-10 08:00 - 2025-04-10 08:50: Indian Knowledge System (MOOC) (BCASemSecondm) at D1, Faculty: Jatin Ambasana
2025-04-17 08:00 - 2025-04-17 08:50: Indian Knowledge System (MOOC) (BCASemSecondm) at D1, Faculty: Jatin Ambasana
2025-04-24 08:00 - 2025-04-24 08:50: Indian Knowledge System (MOOC) (BCASemSecondm) at D1, Faculty: Jatin Ambasana
